Constituency,Electorate,Conservative Votes,Conservative Vote (proportion),Labour Votes,Labour Vote (proportion),Lib Dem Votes,Lib Dem Vote (proportion),Turnout (Proportion),Median House Price,Ratio of median house price to median salary,Home Ownership (proportion of households),Unemployment Rate,Share of LSOAs (small areas) in most deprived decile,Number of Businesses,Number of businesses per capita,Standardised Weighted Overall Social Mobility Index,School Funding Per Pupil (Real),Are Religous (proportion),Are Not Religious (proportion),Are Christian (proportion),Are Muslim (proportion),Average Internet Speed (Mb/s),Asthma,Atrial fibrillation,Cancer diagnosis since 2003,Cardiovascular disease (primary prevention),Chronic kidney disease,COPD,Coronary heart disease,Dementia,Depression,Diabetes,Epilepsy,Heart failure,High blood pressure (hypertension),Learning disabilities,Obesity,Osteoporosis,Peripheral arterial disease,Rheumatoid arthritis,"Schizophrenia, bipolar disorder & psychoses",Stroke and transient ischaemic attack,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,"""White""","""Mixed""","""Asian""","""Black""","""Other""",vgh,gh,fh,bh,vbh,CON%1_ps,CON%1_ps_65,CON%1_ps_Oth,CON%1_fm,CON%1_fm_lp_dc,CON%NO_ADEM,CON%NO_ADEM_WCHILD,CON%NO_ADEM_NCHILD,CON%Own,CON%Own_out,CON%Own_mort,CON%Share,CON%Soc_r,CON%Soc_r_LA,CON%Soc_r_Other,CON%Private_rent,CON%Private_r_land,CON%Private_r_Oth,CON%Rent_free,CON%NO,CON%1CV,CON%2CV,CON%3CV,CON%4+CV,CON%No_qual,CON%Lev_1_qual,CON%Lev_2_qual,CON%Appren,CON%Lev_3_qual,CON%Lev_4_qual,CON%Oth_qual,CON%AC_ALL,CON%AC_EMP,CON%AC_EMP_E_P,CON%AC_EMP_E_F,CON%AC_SELF,CON%AC_UNE,CON%AC_F_STUD,CON%INA_ALL,CON%INA_RET,CON%INA_STUD,CON%INA_CARE,CON%INA_LONG SICK,CON%INA_OTHER,CON%UN_16_24,CON%UN_50_74,CON%UN_NEVER,CON%UN_LONG,CON%A_FOR_FISH,CON%M_Q,CON%MANF,CON%E_G_S_AIR,CON%W_SEW_WAST_REM,CON%CONST,CON%WT_RT_REPM,CON%TRAN_STOR,CON%ACCOM_FOOD,CON%INF_COM,CON%FIN_INS,CON%REAL,CON%PROF_SCI_TECH,CON%ADMIN_SUPP,CON%ADMIN_DEF,CON%EDUC,CON%HEAL_SOC,CON%OTHER,CON%MAN_DIR_SEN,CON%PROF,CON%ASSOC_PROF_TECH,CON%ADMIN_SEC,CON%SKILL,CON%CAR_LEI_,CON%SAL_SERV,CON%OPS,CON%ELEM,CON%H_MAN_AD_PROF,CON%LG_E_H_MAN_AD,CON%H_PROF,CON%L_MAN_AD_PROF,CON%I_OCC,CON%S_EMP_OWN,CON%L_SUP_TECH,CON%SEMI,CON%ROUT,CON%N_WKD_L_EMP,CON%N_WKD,CON%L_EMP,CON%NON_C,CON%FT_STUD,Brexit,Brexit Predicted
Aldershot,72617,27980,0.385309225,11282,0.155363069,6920,0.09529449,0.660065825,302000,8.9,0.65426048,0.015520967,0,3825,0.052673616,-24.94625196,6972.00,0.664787052,0.265362483,0.581416832,0.013818056,114.8,0.057579089,0.01989271,0.030609901,0.012002215,0.034918392,0.018407318,0.026682077,0.006852819,0.1339346,0.078472267,0.008036818,0.008007584,0.147026175,0.004241253,0.116832027,0.013875458,0.005399515,0.006284818,0.008152514,0.014895596,0.12956908,0.10903078,0.12176625,0.15190368,0.14323595,0.13993805,0.0918569,0.07232603,0.04037331,0.855333808,0.02134293,0.097736764,0.019293316,0.006293181,50.03175459,35.64885202,10.74363465,2.774196032,0.80156271,25.09516109,9.399179002,15.69598209,65.79674089,6.227142679,23.73678318,3.12227889,20.61450429,65.42604802,24.48563254,40.94041547,1.686776962,15.2655803,1.970394328,13.29518597,16.80059709,12.25525563,4.54534146,0.820997637,15.82535141,42.29630551,32.0388108,7.269560891,2.569971389,18.51107124,16.35943313,17.14326996,3.722923916,12.51730822,24.99247468,6.753518837,77.51201752,70.69798779,13.53476982,48.94206973,8.22114824,3.636999702,3.177030021,22.48798248,10.32534757,3.718628124,3.924642714,2.542142293,1.977221783,1.107814302,0.725585975,0.463856749,1.373430596,0.100863533,0.088476784,7.056908267,0.419379955,0.725509626,7.479827293,15.95767271,5.075028313,5.280294451,6.400410532,3.659399773,0.99801812,6.057120612,6.706540204,11.10560589,7.309951869,11.00120328,4.577788788,10.07396659,14.9207248,15.9275906,11.85765855,11.33210646,9.819153454,8.642412231,6.207531144,11.21885617,10.7192371,2.707990516,8.011246583,22.50612213,15.47959937,8.054004328,8.086396559,14.5363376,9.927570971,3.99979269,2.626362093,1.373430596,6.690939245,6.690939245,0.58,0.58
Aldridge-Brownhills,60138,27850,0.463101533,8014,0.133260168,2371,0.039425987,0.654195351,192750,6.4,0.755941669,0.025051281,0.02,2505,0.041654195,12.11134971,6900.00,0.741717983,0.197222439,0.701743446,0.007223218,95.7,0.071791195,0.028976044,0.037132006,0.011411577,0.063751962,0.023912602,0.044088585,0.010223759,0.120029202,0.084963546,0.009371979,0.015002546,0.17426211,0.005799039,0.146999464,0.015328373,0.006946473,0.011108078,0.008843855,0.022405312,0.10893231,0.10859775,0.10525233,0.11069508,0.12179932,0.15085307,0.11293393,0.11072081,0.07021539,0.931288487,0.015524723,0.040364279,0.009704576,0.003117936,42.68454283,35.73024658,15.26489464,4.878270585,1.442045366,27.04002482,14.44616817,12.59385666,67.87775365,5.659323612,37.25411108,3.282655911,33.97145517,75.59416693,38.89854173,36.69562519,0.657772262,14.54235185,6.642879305,7.899472541,8.200434378,7.288240769,0.912193608,1.005274589,19.13124418,41.54204158,29.93174061,7.04933292,2.345640707,29.45354674,13.99911608,15.97373489,3.834012059,11.68039903,20.52909051,4.530100704,68.56594569,61.64317228,14.73510528,38.24921984,8.658847161,4.553606657,2.369166756,31.43405431,18.65741239,3.904372467,3.741167187,3.534918756,1.596183507,1.373793895,0.920047347,0.755048603,2.00150651,0.132817136,0.081950999,13.90058496,0.486054201,1.056885297,10.18453104,17.5968576,4.85771611,3.865826433,1.949868596,3.563455506,1.528810015,4.527086218,4.154067878,5.343770311,10.76666572,11.76420719,4.238844774,10.99556334,14.57597423,11.69355978,13.35236104,13.65190607,9.150252918,7.887077175,8.683979993,10.00932546,8.364718964,2.466013846,5.898705119,20.29484558,14.4194555,9.358298361,7.814125327,15.91699846,12.66186018,5.007353205,3.005846695,2.00150651,6.162344417,6.162344417,0.69,0.68
Altrincham and Sale West,73107,26311,0.359897137,20172,0.27592433,6036,0.082563913,0.749080115,342500,8.2,0.740804727,0.015493581,0.050847458,6460,0.088363631,103.8461171,6822.00,0.728007785,0.207576275,0.652690209,0.031348676,94.7,0.071644326,0.023253718,0.038387958,0.012076168,0.046054106,0.015796414,0.031306595,0.008063359,0.131972545,0.055103767,0.007218339,0.007704706,0.133920281,0.00355765,0.085910204,0.010850948,0.006271115,0.00686933,0.007775105,0.019142704,0.12848052,0.13108027,0.08466659,0.12384798,0.14972779,0.13933874,0.10154516,0.08451021,0.05680272,0.904338914,0.021306333,0.055895477,0.009762814,0.008696462,54.3415018,30.6664182,10.84780156,3.236326366,0.907952087,28.01522322,12.76947345,15.24574977,66.59906357,5.768797416,30.05082751,2.381131225,27.66969629,74.08047272,35.3514109,38.72906182,0.711084404,12.26119833,2.916948346,9.344249981,11.93319813,11.15451063,0.778687498,1.014046421,16.0019029,41.63098726,33.99434137,6.459851273,1.912917199,15.18875752,11.07783655,15.23672475,3.116573325,11.36952914,40.34562331,3.664955403,73.37062045,67.58483786,13.93340482,41.61619382,12.03523923,3.039962906,2.745819689,26.62937955,14.13916017,4.331005303,3.787637291,2.819717738,1.551859043,0.782449938,0.708551888,0.314428956,1.179470832,0.184681787,0.103753813,7.14448756,0.547820132,0.554045361,6.459712394,14.78284327,4.006972256,4.363885373,5.46367579,5.233342325,1.821916955,11.75115686,5.486501629,4.042248553,10.40028221,13.07298043,4.579693304,14.72266606,26.08785873,14.67078915,11.51252309,8.034695275,7.181838933,7.536676973,3.652134216,6.60081758,18.7947373,3.787637291,15.00710001,26.17295042,14.10728258,9.411133973,4.993189788,10.18199206,6.111803402,3.331208161,2.151737329,1.179470832,6.895702321,6.895702321,0.39,0.39
Amber Valley,69976,29096,0.415799703,12210,0.174488396,2873,0.041056934,0.651180405,160000,5.5,0.724682122,0.026734835,0.052631579,2960,0.042300217,-37.11118115,6737.00,0.611130708,0.317160315,0.600161578,0.001615785,56.3,0.072241621,0.025118343,0.036422858,0.011185763,0.058563126,0.025985695,0.039669074,0.009481818,0.143248742,0.075957425,0.008857981,0.012601244,0.16123062,0.00775206,0.135274084,0.00598883,0.00955112,0.008722586,0.008751697,0.022403458,0.10650088,0.10094828,0.11444872,0.12041502,0.12667532,0.1502357,0.12431274,0.10409476,0.05236856,0.983887669,0.006599684,0.006702093,0.002002663,0.000807892,42.41434635,35.3538227,15.7766576,5.089721562,1.365451794,27.93888287,12.71511274,15.22377012,67.16804568,6.146078405,34.64802136,3.917629332,30.73039203,72.46821222,36.75751408,35.71069814,0.319860425,14.35406699,6.000687303,8.353379682,11.46739274,10.37299426,1.094398477,1.390467631,21.03941421,42.66039282,27.72476143,6.36813027,2.207301277,29.66538854,14.83545282,15.90852666,4.757110149,12.00242752,18.72500069,4.106093625,69.43968943,63.06321453,14.57632818,40.22284037,8.264045974,4.261172587,2.115302317,30.56031057,16.98966803,3.330378431,3.981475821,4.611175643,1.647612643,1.338876322,0.771840802,0.53493917,1.763770863,0.422668241,0.212514758,20.05430933,0.6635183,0.847697757,9.662337662,17.19480519,4.963400236,4.276269185,1.931523022,1.489964581,1.20188902,4.12042503,4.002361275,5.131050767,8.446280992,11.26564345,4.113341204,9.773317591,12.03305785,10.43211334,10.89728453,14.60448642,9.315230224,7.950413223,12.35655254,12.63754427,7.495261967,2.278840863,5.216421104,17.87002507,11.60817998,9.139817815,9.570825946,17.18988812,17.41609097,4.415540747,2.651769884,1.763770863,5.294369383,5.294369383,0.65,0.65
Arundel and South Downs,81726,35566,0.435185865,9722,0.118958471,13045,0.159618726,0.751388787,391000,12.4,0.759701493,0.012505995,0,6120,0.07488437,-54.87171533,6691.00,0.670021693,0.250372685,0.654836687,0.003053451,52.9,0.06840713,0.031896562,0.046187935,0.013998814,0.046056461,0.01710867,0.038592829,0.010231494,0.101567199,0.067627371,0.006303831,0.008465166,0.166625225,0.003841713,0.075420507,0.006896286,0.00539973,0.008290925,0.007148769,0.02315199,0.09961051,0.10790894,0.07192626,0.08802404,0.1230673,0.15746468,0.14080911,0.13169845,0.07949076,0.977484656,0.009993112,0.00934541,0.002148725,0.001028098,49.00737146,34.83298549,12.14389258,3.123361469,0.892388991,28.01877708,15.71978816,12.29898893,66.99566683,4.3403948,34.62205104,1.697159364,32.92489167,75.97014925,42.2556572,33.71449206,0.512758787,10.31776601,2.347135291,7.970630717,11.2662494,9.877226769,1.389022629,1.933076553,10.34665383,39.47038999,35.83533943,9.990370727,4.357246028,17.91559322,12.53780383,17.16387261,3.471107294,12.0486876,32.95373931,3.909196132,70.47539134,65.55076531,14.79847227,34.75593877,15.99635427,2.468099881,2.456526142,29.52460866,18.6843552,3.260901016,4.140505194,2.035531379,1.403315876,0.648129394,0.719018547,0.245941958,0.852116548,1.978990608,0.100554117,7.21208361,0.419332064,0.714576068,8.322457799,14.9483323,4.663999487,4.751716908,4.032861941,4.901478359,2.070986928,7.969448664,5.222395755,4.563445369,10.31642455,11.45461158,6.356303887,15.61370103,19.23364926,13.88502599,11.01388503,12.43020047,9.479899874,5.999015853,4.388010526,7.956611968,14.69141518,3.687682648,11.00373253,26.28396169,13.00598941,14.5771245,5.750701658,10.94152368,6.860333902,2.339342033,1.487225485,0.852116548,5.54960794,5.54960794,0.50,0.50
Ashfield,78204,19231,0.245908138,11971,0.153074012,1105,0.014129712,0.626310675,138000,5.2,0.690888147,0.030492632,0.15625,2585,0.033054575,-30.71502985,6599.00,0.594246129,0.337578743,0.582069196,0.002982907,102.9,0.06774386,0.022321024,0.035432849,0.011193101,0.057088766,0.026683111,0.040646199,0.010230609,0.139598319,0.086458524,0.010597067,0.013434734,0.159770514,0.007538429,0.154264559,0.010387315,0.006869046,0.008648546,0.007901862,0.021508453,0.11788228,0.11009848,0.11434842,0.12367596,0.12338767,0.14733426,0.11703603,0.09643731,0.04979959,0.979571011,0.008036187,0.008291304,0.002845536,0.001255961,41.06403438,34.65667131,16.72194203,5.949133583,1.608218694,27.88849211,12.31655339,15.57193872,67.33095266,7.404676881,36.80912337,4.971777445,31.83734593,69.08881465,34.17348232,34.91533233,0.46308029,16.51422647,13.00311024,3.511116231,12.56306877,11.36735399,1.195714779,1.370809815,23.5410667,44.03640134,25.38186845,5.264370464,1.776293054,32.25316273,16.51129415,16.43531639,4.21013278,11.60288957,14.62752807,4.359676311,67.03077659,60.21766863,14.46871844,38.69265933,7.056290863,4.74273109,2.070376867,32.96922341,17.08658906,3.408547281,4.604528783,5.921437304,1.94812098,1.638494658,0.809280816,0.77473024,1.879019827,0.279858779,0.406871609,17.56436752,0.938603289,0.721174546,9.426935331,19.25643675,5.894256437,4.462671144,1.653319556,1.371308017,1.013949884,3.545595453,4.193576165,4.746835443,7.45285456,13.33419444,3.737191079,8.940411608,10.0985964,9.547489882,10.98553345,14.29432533,10.29880307,9.284853182,11.95212262,14.59786446,5.801839154,1.851113592,3.950725562,15.71652581,11.67277946,8.43166959,9.663530537,18.13506618,19.80545368,5.420453941,3.541434115,1.879019827,5.352681656,5.352681656,0.71,0.71
Ashford,89553,37270,0.416178129,13241,0.147856577,6048,0.067535426,0.670653133,280000,9.1,0.678441139,0.02747678,0.013333333,5985,0.066831932,11.88146261,6423.00,0.65991677,0.26380379,0.627279972,0.008933947,80.5,0.062290826,0.024888303,0.033508238,0.013211518,0.044028201,0.018266891,0.028971479,0.007109272,0.143825675,0.065977148,0.008764785,0.006857315,0.148961032,0.004518662,0.092505085,0.009681043,0.005405384,0.008559469,0.0073063,0.017606509,0.12949622,0.12244506,0.1064335,0.12128991,0.13117277,0.1440077,0.10383442,0.09175358,0.04956682,0.934956614,0.014459005,0.035071719,0.012086063,0.003426598,47.688153,34.97786435,12.71383035,3.545245263,1.07490703,25.87325513,11.87495904,13.99829609,68.07785569,7.259103917,30.59833541,3.772636914,26.82569849,67.84411386,31.28208489,36.56202897,1.354391944,14.79345523,10.05089892,4.742556306,14.53349936,13.10920331,1.424296044,1.474539616,16.21993578,42.17620202,30.90635035,7.722218581,2.97529327,21.28081356,15.75369315,17.84470304,3.837064746,12.02974677,24.28797025,4.966008489,72.76101339,65.99222949,14.68328347,39.71152295,11.59742307,3.687888681,3.080895222,27.23898661,14.17435235,3.309293579,4.932907983,3.154131652,1.668301039,1.057583694,0.764637976,0.458038008,1.341840345,1.575975453,0.076256877,8.733228026,0.669971131,0.735334169,10.32917552,17.20318826,5.357953411,5.189098898,2.957677433,3.360749496,1.102093433,5.977086624,5.514098444,5.027506945,8.63518347,12.63503822,4.920384189,12.04132396,15.54732465,11.62735806,10.81395138,13.170652,9.254316684,9.11088113,7.353341685,11.08085045,10.06814712,2.569481511,7.498665607,21.84431673,13.34268443,11.46460446,8.024974864,14.72176363,10.44177704,3.856704857,2.514864513,1.341840345,6.235026874,6.235026874,0.60,0.60
Ashton-Under-Lyne,67978,14281,0.210082674,18544,0.272794139,1395,0.020521345,0.567521845,140000,5.5,0.623715577,0.044019777,0.206896552,2505,0.036850157,-30.52965586,6342.00,0.742473808,0.201273153,0.650424384,0.059358561,91.8,0.068574871,0.017229058,0.026919642,0.012251198,0.029142681,0.028817259,0.03515241,0.007852337,0.159185077,0.084057636,0.00962019,0.007956724,0.15015864,0.005815163,0.10354079,0.005339095,0.008679083,0.008029987,0.009331237,0.017919417,0.13066311,0.11420321,0.12787165,0.13652406,0.12119786,0.14219251,0.1026631,0.08142246,0.04326202,0.873513549,0.016964325,0.095608063,0.011361125,0.002552938,43.01202423,33.97396225,15.39940763,6.0065868,1.608019097,32.66029593,13.02918208,19.63111385,61.48787505,9.353164817,36.45961776,5.374023839,31.08559392,62.37155775,28.19564324,34.17591451,0.277435265,21.15443896,5.45108919,15.70334977,14.9635224,13.59175915,1.371763255,1.233045623,33.36929716,43.93752569,18.72688039,3.149404028,0.816892725,29.63497232,16.53958703,17.15231697,4.257511437,11.76551402,15.42540769,5.224690544,67.9240746,60.14668089,13.29896752,39.89840545,6.949307925,5.108282361,2.669111348,32.0759254,14.54335052,4.586783691,4.168983604,6.477404229,2.299403357,1.612588106,0.83109154,0.772479298,2.076977412,0.087145969,0.038731542,12.48123941,0.556765916,0.852093924,8.506414912,18.88888889,5.766158315,4.848704914,2.248850157,4.320987654,1.68966352,4.8244977,4.998789639,5.645122246,7.804405713,12.27305737,4.168482208,8.211086904,10.61002179,10.39215686,13.6238199,13.12030985,9.954006294,10.96344711,10.62212539,12.5030259,5.686890395,1.484843475,4.20204692,16.00414794,14.8860067,8.295886623,8.346984475,17.85569365,15.26172621,6.62017764,4.543200228,2.076977412,7.042486361,7.042486361,0.63,0.62
Aylesbury,86665,32737,0.37774188,15364,0.177280332,10081,0.116321468,0.698967288,315000,10.2,0.695131869,0.016112942,0,4905,0.056597242,30.66555603,6289.00,0.670998917,0.258888981,0.591231822,0.057504142,103.6,0.069844059,0.020806427,0.029025238,0.011923,0.026113798,0.015003457,0.029133469,0.007620532,0.127811276,0.065300462,0.007635967,0.007223673,0.131225592,0.004658198,0.082785377,0.005294837,0.005296636,0.007493487,0.008736752,0.015484409,0.13960151,0.115459,0.11500529,0.15226579,0.13982441,0.1338624,0.09079113,0.07011916,0.04307126,0.857942922,0.027363529,0.083932721,0.025549168,0.00521166,50.83729068,34.47286327,11.11573958,2.787266146,0.786840327,25.99976763,10.13361218,15.86615545,66.7294063,6.406413384,25.07726269,2.669919833,22.40734286,69.51318694,29.2901127,40.22307424,0.941094458,13.29150691,3.843383293,9.44812362,15.19228535,12.45497851,2.737306843,1.061926339,15.44092018,40.44382479,33.28918322,7.716974556,3.109097246,18.14406215,14.42142331,16.61616575,3.721468933,12.05704459,29.97063538,5.069199902,76.06219998,69.95965683,14.07159636,45.1971198,10.69094066,3.390869166,2.711673986,23.93780002,11.61525891,3.420232867,4.432642222,2.524001634,1.945664386,0.905168011,0.711112246,0.389388214,1.207741804,0.550637394,0.049575071,7.93378187,0.208923513,0.972025496,7.526558074,16.34915014,4.699008499,4.290014164,5.230169972,3.944759207,1.361543909,6.816572238,5.014164306,8.698654391,8.886331445,12.7407932,4.72733711,12.71954674,17.3565864,14.75389518,11.94405099,11.19688385,9.373229462,7.86296034,5.841005666,8.95184136,12.45659279,3.592585027,8.864007762,24.86211827,14.88611991,9.886630579,6.562148912,12.31871106,9.158921458,3.913032377,2.705290573,1.207741804,5.955724645,5.955724645,0.52,0.52
Banbury,90116,34148,0.378933819,17335,0.192363176,8831,0.097995916,0.698222291,303995,9.3,0.677487245,0.014394104,0,5790,0.064250522,11.00171911,6285.00,0.674004477,0.257445221,0.634590598,0.02342955,75.6,0.064071768,0.019469044,0.036687903,0.0133351,0.031521359,0.015092822,0.025599377,0.006660273,0.134665019,0.056877879,0.007943554,0.007709535,0.127256863,0.004196628,0.115017635,0.016143016,0.005257558,0.00810213,0.007678871,0.017159522,0.12989179,0.11772037,0.10257162,0.14211875,0.13717241,0.14207113,0.1013807,0.080706,0.04636724,0.924165593,0.017731158,0.041525337,0.013516722,0.00306119,50.5706872,34.51682382,11.07794587,3.025574927,0.808968184,25.27636054,10.07440476,15.20195578,68.01870748,6.145833333,25.53996599,2.842261905,22.69770408,67.74872449,28.87755102,38.87117347,0.744047619,12.84438776,2.631802721,10.21258503,17.05782313,15.38265306,1.675170068,1.605017007,16.18197279,41.08418367,32.4744898,7.517006803,2.742346939,19.74441987,15.50576444,16.18104305,3.87750959,11.77463645,27.32955092,5.58707568,75.90695615,70.3970446,14.47051009,45.66886923,10.25766528,2.93209337,2.577818178,24.09304385,11.87288047,3.350464404,3.989092053,2.568495146,2.312111783,0.844899719,0.589681735,0.34611754,1.005722011,1.201162623,0.041751642,12.40666099,0.317954812,0.648756283,7.10901996,18.23904421,4.721147207,4.330929938,4.647278917,2.601448461,1.0710902,6.479533666,4.615162269,6.954860052,9.467987731,10.0910507,5.055160342,11.79323302,15.90416392,13.240088,11.00958682,11.57965732,8.359963387,9.023172161,8.2812776,10.80885777,11.14568402,2.869162908,8.276521111,22.81578855,13.44381126,9.5654302,7.67168945,14.91335408,11.61882786,3.0299852,2.024263189,1.005722011,5.795429384,5.795429384,0.50,0.50
